,date,incident_id,state,n_killed,n_injured,total
218262,2017-11-12,986236,Indiana,0,7,7
200360,2017-07-26,898631,North Carolina,1,6,7
194323,2017-06-22,873847,Georgia,1,6,7
143125,2016-08-27,640500,Alabama,1,6,7
19829,2014-06-02,142076,Illinois,0,7,7
95,2013-06-07,489581,California,6,1,7
49958,2014-12-15,263556,Pennsylvania,7,0,7
163204,2016-12-24,732927,North Carolina,0,7,7
146720,2016-09-16,657023,Pennsylvania,2,5,7
133756,2016-07-04,595166,New York,0,7,7
231,2013-10-27,492570,California,1,6,7
54426,2015-01-19,281039,Texas,2,5,7
79802,2015-07-15,375412,Ohio,0,7,7
22,2013-02-19,480358,California,4,3,7
193575,2017-06-18,869968,South Carolina,0,7,7
76230,2015-06-22,361948,Pennsylvania,0,7,7
59583,2015-03-04,300860,California,3,4,7
152574,2016-10-22,682298,California,0,7,7
116010,2016-03-12,521176,Florida,0,6,6
40348,2014-10-05,201052,Michigan,1,5,6
56068,2015-02-01,287529,New York,0,6,6
85272,2015-08-16,395844,Texas,0,6,6
20921,2014-06-09,156245,New Jersey,0,6,6
270,2013-12-26,496584,Louisiana,3,3,6
183092,2017-04-21,828883,Louisiana,1,5,6
95089,2015-10-19,433146,Illinois,0,6,6
276,2013-12-31,496684,New York,0,6,6
184631,2017-04-29,831800,California,1,5,6
49594,2014-12-12,262147,Georgia,3,3,6
179575,2017-04-02,809978,Illinois,2,4,6
205978,2017-08-28,922184,New Mexico,2,4,6
202259,2017-08-06,907555,New York,0,6,6
90315,2015-09-17,418318,South Dakota,6,0,6
90865,2015-09-20,417013,Oklahoma,0,6,6
59180,2015-03-01,299344,Michigan,1,5,6
201080,2017-07-30,901549,Virginia,1,5,6
174240,2017-02-28,785262,Ohio,0,6,6
50881,2014-12-22,282186,New York,4,2,6
90866,2015-09-20,416872,Illinois,1,5,6
20648,2014-06-07,143723,South Carolina,1,5,6
178561,2017-03-27,804115,Florida,2,4,6
7383,2014-02-25,109957,Virginia,5,1,6
201379,2017-08-01,904106,Washington,0,6,6
178297,2017-03-26,803822,Texas,2,4,6
52684,2015-01-04,273535,Virginia,2,4,6
177079,2017-03-19,797553,Kentucky,1,5,6
56917,2015-02-08,290510,Tennessee,0,6,6
89765,2015-09-13,413001,Florida,1,5,6
48400,2014-12-02,227011,Missouri,1,5,6
182049,2017-04-15,821400,Alabama,0,6,6
89470,2015-09-12,412529,Minnesota,0,6,6
43312,2014-10-24,210363,Washington,5,1,6
61795,2015-03-20,468151,Texas,1,5,6
168105,2017-01-21,756801,Georgia,0,6,6
168656,2017-01-25,760259,Illinois,0,6,6
56500,2015-02-05,289146,Ohio,3,3,6
111181,2016-02-07,501256,Mississippi,2,4,6
61510,2015-03-18,308728,Arizona,1,5,6
46581,2014-11-16,224746,Texas,0,6,6
109520,2016-01-27,494378,Virginia,6,0,6
88768,2015-09-07,409732,Indiana,2,4,6
208319,2017-09-13,932526,Tennessee,1,5,6
47149,2014-11-21,223582,Pennsylvania,0,6,6
238110,2018-03-21,1074886,California,1,5,6
6834,2014-02-20,108649,California,4,2,6
54985,2015-01-23,283115,Massachusetts,0,6,6
105589,2015-12-31,476321,Louisiana,0,6,6
171247,2017-02-10,772067,Louisiana,1,5,6
180472,2017-04-07,814094,Illinois,1,5,6
89468,2015-09-12,412487,New York,2,4,6
47759,2014-11-26,225036,California,0,6,6
191828,2017-06-08,863075,Louisiana,0,6,6
8538,2014-03-08,113214,Illinois,0,6,6
218127,2017-11-11,986092,Louisiana,1,5,6
231510,2018-02-05,1043447,Colorado,2,4,6
2477,2014-01-16,97407,Oklahoma,2,4,6
97,2013-06-10,487659,Missouri,0,6,6
152699,2016-10-23,683142,Oklahoma,1,5,6
105,2013-06-21,488505,Virginia,0,6,6
231712,2018-02-07,1044234,Florida,3,3,6
153591,2016-10-28,688429,Mississippi,0,6,6
80038,2015-07-16,375922,Maine,2,4,6
117,2013-06-28,490115,Illinois,0,6,6
218165,2017-11-11,985832,North Carolina,1,5,6
153932,2016-10-30,689020,Maryland,3,3,6
11978,2014-04-05,122136,Illinois,1,5,6
30917,2014-08-10,172288,Georgia,0,6,6
6288,2014-02-15,107447,Florida,0,6,6
237404,2018-03-17,1072200,Georgia,2,4,6
154279,2016-11-01,691113,Tennessee,1,5,6
131213,2016-06-18,583210,Ohio,2,4,6
31891,2014-08-16,175788,Utah,0,6,6
70400,2015-05-16,341962,Illinois,0,6,6
236261,2018-03-09,1067061,Indiana,0,6,6
129470,2016-06-05,572766,Arizona,2,4,6
129338,2016-06-05,572696,Florida,3,3,6
29475,2014-08-02,168307,Pennsylvania,1,5,6
151408,2016-10-15,676686,Illinois,1,5,6
156195,2016-11-12,699033,California,1,5,6
226563,2018-01-05,1021788,Mississippi,0,6,6
143604,2016-08-29,641732,New Jersey,1,5,6
145877,2016-09-11,652584,Missouri,0,6,6
145881,2016-09-11,653077,Louisiana,1,5,6
143418,2016-08-28,641419,Texas,0,6,6
24811,2014-07-05,154803,Texas,0,6,6
143137,2016-08-27,640203,Florida,2,4,6
191341,2017-06-05,859875,Florida,6,0,6
146910,2016-09-17,659289,Florida,0,6,6
77161,2015-06-28,365399,Delaware,0,6,6
77205,2015-06-28,367099,Illinois,0,6,6
192815,2017-06-14,866933,California,4,2,6
220146,2017-11-24,995015,Ohio,1,5,6
148127,2016-09-25,664674,Texas,2,4,6
189950,2017-05-28,853796,New Jersey,1,5,6
192872,2017-06-14,866739,Virginia,1,5,6
51,2013-04-14,484307,Arizona,2,4,6
26576,2014-07-16,159753,California,3,3,6
231176,2018-02-03,1042280,Ohio,1,5,6
226814,2018-01-07,1022067,Alabama,1,5,6
27410,2014-07-21,161302,New Jersey,0,6,6
135865,2016-07-16,604175,Tennessee,0,6,6
23786,2014-06-29,152693,California,1,5,6
80536,2015-07-19,377047,Kentucky,0,6,6
30861,2014-08-10,172205,District of Columbia,0,6,6
93859,2015-10-10,428215,Tennessee,0,6,6
193,2013-09-15,480071,Washington,0,6,6
124694,2016-05-06,554133,Maryland,3,3,6
19735,2014-06-01,141382,Illinois,1,5,6
185,2013-09-07,479709,Indiana,2,4,6
216,2013-10-06,480961,Pennsylvania,1,5,6
159235,2016-11-30,715101,Maryland,2,4,6
34871,2014-09-03,185430,California,0,6,6
68253,2015-05-03,333584,Texas,0,6,6
122425,2016-04-22,546022,Georgia,6,0,6
159672,2016-12-02,717616,New Jersey,0,6,6
121456,2016-04-16,541987,Florida,2,4,6
1803,2014-01-12,95500,Louisiana,0,6,6
159747,2016-12-03,717873,California,0,6,6
214048,2017-10-18,962359,Maryland,3,3,6
80759,2015-07-20,377878,New York,0,6,6
36832,2014-09-14,190599,Alaska,0,6,6
